fix_commit,fname,changed_lines,bug_commits
e67418b1,packages/core/tsconfig.json,"[[('-4', '1'), ('+4', '1')]]",{'3ba662f99'}
e67418b1,packages/financial-templates-lib/package.json,"[[('-21', '1'), ('+21', '1')], [('-47', '1'), ('+47', '1')]]","{'9fcc5128f', '1142e7741'}"
e67418b1,packages/serverless-orchestration/package.json,"[[('-9', '1'), ('+9', '1')]]",{'1142e7741'}
e67418b1,packages/trader/package.json,"[[('-5', '1'), ('+4', '0')], [('-6', '0'), ('+6', '1')]]",{'9fcc5128f'}
e67418b1,packages/trader/src/tsconfig.json,"[[('-7', '1'), ('+7', '2')]]",{'0312bbbde'}
e67418b1,packages/trader/tsconfig.json,"[[('-6', '1'), ('+6', '2')]]",{'684f78f09'}
e67418b1,yarn.lock,"[[('-1462', '4'), ('+1462', '4')], [('-4453', '0'), ('+4454', '7')], [('-5539', '0'), ('+5547', '7')]]",{'1142e7741'}
9c0f7c0a,packages/common/src/FormattingUtils.js,"[[('-1', '1'), ('+1', '1')]]",{'65fde3bce'}
e21776fd,packages/core/scripts/identifier-umip/1_Propose.js,"[[('-1', '8'), ('+0', '0')], [('-14', '1'), ('+5', '0')]]","{'8a9f612c2', 'a0432a2b6'}"
d10f9f60,packages/common/package.json,"[[('-22', '1'), ('+22', '1')]]",{'c0b5f5832'}
54f2fe49,packages/cli/package.json,"[[('-9', '1'), ('+9', '2')]]",{'c5713e871'}
54f2fe49,packages/common/package.json,"[[('-9', '1'), ('+9', '2')]]",{'65fde3bce'}
54f2fe49,packages/core/package.json,"[[('-39', '1'), ('+39', '2')]]",{'c8843b15f'}
54f2fe49,packages/disputer/package.json,"[[('-21', '1'), ('+21', '2')]]",{'7bfb7e1c8'}
54f2fe49,packages/financial-templates-lib/package.json,"[[('-28', '1'), ('+28', '2')]]",{'6a262b476'}
54f2fe49,packages/liquidator/package.json,"[[('-22', '1'), ('+22', '2')]]",{'d1cf6ce07'}
54f2fe49,packages/monitors/package.json,"[[('-21', '1'), ('+21', '2')]]",{'d1cf6ce07'}
54f2fe49,packages/reporters/package.json,"[[('-25', '1'), ('+25', '2')]]",{'eedf4cd5e'}
54f2fe49,packages/voter-dapp/package.json,"[[('-57', '1'), ('+57', '2')]]",{'53a5795b7'}
9c0e11ae,sponsor-dapp/package.json,"[[('-8', '1'), ('+8', '1')]]",{'9fcea2249'}
948513fc,package.json,"[[('-8', '1'), ('+8', '1')]]",{'52864065f'}
7cb71d1c,packages/contracts-frontend/package.json,"[[('-27', '1'), ('+26', '0')]]",{'15a8f31e3'}
731b7963,packages/core/scripts/identifier-umip/1_Propose.js,"[[('-4', '1'), ('+4', '1')]]",{'8a9f612c2'}
731b7963,packages/core/scripts/identifier-umip/3_Verify.js,"[[('-5', '1'), ('+5', '1')]]",{'05a6af98a'}
4dec03be,packages/api/package.json,"[[('-30', '1'), ('+30', '1')]]",{'ccfbf07f9'}
4dec03be,packages/financial-templates-lib/package.json,"[[('-12', '1'), ('+11', '0')], [('-29', '0'), ('+29', '1')], [('-35', '3'), ('+35', '3')]]","{'439dbf215', '6092a1386', '3955d8003'}"
4dec03be,packages/scripts/package.json,"[[('-13', '1'), ('+13', '1')]]",{'0f96c0b46'}
4dec03be,packages/sdk/package.json,"[[('-49', '1'), ('+49', '1')], [('-56', '0'), ('+57', '1')]]",{'7c21f75d6'}
4dec03be,yarn.lock,"[[('-4853', '1'), ('+4853', '1')]]",{'439dbf215'}
f1d2aeda,packages/core/networks/42.json,"[[('-60', '1'), ('+60', '1')]]",{'143fa9ba6'}
86248df8,packages/core/contracts/l2/polygon/test/FxChildMock.sol,"[[('-3', '2'), ('+3', '2')]]",{'7333b43c7'}
ee9677d6,packages/core/contracts/merkle-distributor/implementation/MerkleDistributor.sol,"[[('-11', '2'), ('+11', '2')]]",{'d08417dad'}
ee9677d6,packages/core/test/merkle-distributor/MerkleDistributor.js,"[[('-1', '2'), ('+1', '1')]]",{'4e4bbd591'}
ee9677d6,packages/core/test/merkle-distributor/SamplePayout.json,"[[('-12', '1'), ('+12', '2')]]",{'d08417dad'}
e59b5615,packages/bot-strategy-runner/package.json,"[[('-8', '0'), ('+9', '1')], [('-11', '1'), ('+11', '0')], [('-16', '1'), ('+16', '2')]]","{'15c8ded73', 'e594f213f'}"
48c290fd,packages/affiliates/payouts/devmining-status.json,"[[('-3', '1'), ('+2', '0')], [('-28', '1'), ('+27', '3')]]","{'25e2b7298', 'b673c302a'}"
2a89f973,packages/core/networks/42.json,"[[('-60', '1'), ('+60', '1')]]",{'f1d2aeda5'}
15c8ded7,packages/bot-strategy-runner/package.json,"[[('-8', '2'), ('+7', '0')], [('-15', '1'), ('+13', '9')], [('-17', '1'), ('+22', '0')]]","{'fb0c7aa8e', '7025af7c6'}"
15c8ded7,packages/bot-strategy-runner/src/index.ts,"[[('-1', '1'), ('+1', '1')]]",{'7025af7c6'}
1afac528,packages/financial-templates-lib/test/truffle-fixture.js,"[[('-2', '2'), ('+2', '1')]]",{'7894fefd4'}
47ea7b74,packages/affiliates/payouts/devmining-status.json,"[[('-31', '1'), ('+31', '1')]]",{'b673c302a'}
0f4dcbfc,packages/core/scripts/mainnet/ExecuteAdmin.js,"[[('-1', '44'), ('+0', '0')]]","{'9b4e1dd98', 'c925524e8', '498f9d39a', 'd1c2a453a', '80988e53a'}"
efa580cf,package.json,"[[('-8', '1'), ('+8', '1')], [('-11', '1'), ('+11', '1')]]",{'8b169f533'}
47d49916,package.json,"[[('-66', '1'), ('+66', '1')]]",{'97a160293'}
dc3afa5f,packages/core/contracts/Migrations.sol,"[[('-1', '28'), ('+0', '0')]]","{'70821e07e', '5db0d7178', '8cca75e60', '46a0e3a41', '18f2c2066', '52864065f'}"
dc3afa5f,packages/core/networks/1.json,"[[('-2', '4'), ('+1', '0')]]",{'d508f66d2'}
dc3afa5f,packages/core/networks/4.json,"[[('-2', '4'), ('+1', '0')]]","{'a2fd0f92b', 'ddbf360ce'}"
dc3afa5f,packages/core/networks/42.json,"[[('-2', '4'), ('+1', '0')]]","{'e9cdbf6d8', '9f1601480'}"
e8d6b3d8,packages/sdk/package.json,"[[('-27', '1'), ('+27', '1')], [('-33', '6'), ('+33', '2')]]",{'29f46dd61'}
0631f3b1,packages/api/package.json,"[[('-33', '1'), ('+33', '1')]]",{'f5bb7e716'}
